Srno,TranslatedRecipeName,Cuisine,Course,Diet,Average_Resell_Price
33,Asian Style Sweet & Spicy Green Beans Recipe,Thai,Side Dish,High Protein Vegetarian,22
34,Chinese Darsaan Recipe With Ice Cream,Chinese,Dessert,Vegetarian,50
35,Sundakkai and Methi Leaves Sambar Recipe - Sundkai Methi Sambar Recipe,South Indian Recipes,Lunch,Diabetic Friendly,80
36,"Cabbage, Spinach, Pomegranate Slaw with Lemon Dressing Recipe",Continental,Appetizer,Vegetarian,50
37,Matar Samosa Recipe -Green Pea Samosa,North Indian Recipes,Snack,Vegetarian,30
38,Eggless Chocolate Cupcakes With Raspberry & Cheese Frosting,Continental,Dessert,Vegetarian,50
40,Kerala pala pradham recipe,Kerala Recipes,Dessert,Vegetarian,50
41,Tindora Sambharo Recipe - Instant Tendli Pickle,Gujarati Recipes?,Side Dish,Vegetarian,20
42,Chettinad Style Chicken Roast Recipe,Chettinad,Appetizer,High Protein Non Vegetarian,67
43,Palakottai Kujambu Recipe-Kongunad Style Jackfruit Seeds Curry,Tamil Nadu,Side Dish,Vegetarian,20
44,Baingan Bharta Recipe - Brinjal Bharta Recipe,Punjabi,Side Dish,Vegetarian,20
45,Kesar Chai Recipe - A Delicious Saffron Flavored Indian Tea,North Indian Recipes,North Indian Breakfast,Vegetarian,35
46,Pacha Manga Pachadi Recipe - Tamil Nadu Raw Mango Pachadi Recipe,Tamil Nadu,Side Dish,Vegetarian,20
47,Short Knot Husband Recipe - Raw Jackfruit & Black Chickpea Stir Fry,Coorg,Lunch,Vegetarian,70
48,Whole Wheat Crepe Recipe With Herbed Vegetables,Coorg,Lunch,Vegetarian,70
49,Makki and Methi Roti Recipe,Punjabi,Lunch,Vegetarian,70
50,Cabbage and Carrot Sambharo Recipe - Gujarati Vegetable Stir Fry,Gujarati Recipes?,Lunch,Vegetarian,70
51,Whole Wheat Pita Bread Recipe,Continental,Main Course,Vegetarian,100
52,Andhra Steel Tomato Knock Recipe (Tomato Chutney),Andhra,Side Dish,Vegetarian,20
53,Herbal Brown Rice Recipe - Herbal Brown Rice Recipe,Continental,Side Dish,Vegetarian,20
54,Aamras Recipe - Ripe Mango Ras,North Indian Recipes,Side Dish,Vegan,23
55,Rajasthani very roti recipe,Rajasthani,Lunch,Vegetarian,70
56,Peerkangai Thogayal Recipe (Ridge Gourd Peel Chutney),South Indian Recipes,Side Dish,Vegetarian,20
58,Dalia Pakora Recipe - Dalia Pakora Recipe,Indian,Snack,Vegetarian,30
59,Paneer Tikka Saddle Roll Recipe,Bengali Recipes,Snack,Vegetarian,30
60,Pan Fried Rice Balls Filled With Cheese Recipe,Continental,Appetizer,Vegetarian,50
61,Spicy Seafood Stew Casserole With Tomatoes And Lime Recipe,South Indian Recipes,Lunch,Non Vegeterian,87
64,Spicy Chilli Garlic Noodles Recipe,Asian,Dinner,Vegetarian,150
65,Chanar Dal Recipe - Bengali Steel Paneer & Potato Gravy,Bengali Recipes,Lunch,Vegetarian,70
66,Cheesy Garlic Broccoli Nuggets Recipe,Indian,Snack,Eggetarian,34
67,Bengali radish potato vegetable recipe,Bengali Recipes,Lunch,Vegetarian,70
68,Beetroot Sambar Recipe,South Indian Recipes,Lunch,High Protein Vegetarian,77
69,Kaddu Palak Roti Recipe (Pumpkin Spinach Flat Bread),North Indian Recipes,Indian Breakfast,High Protein Vegetarian,27
70,Iranian Baida Curry Recipe,Middle Eastern,Lunch,Eggetarian,80
71,Vegan Chickpea Omelette Recipe (Spiced Chickpea Flour Pancakes),North Indian Recipes,North Indian Breakfast,High Protein Vegetarian,38
72,Peanut Pudding Recipe - Salt Pudding / Firm Mod Modak,Maharashtrian Recipes,Snack,Vegetarian,30
74,Singapore Style Chicken Layered Fried Rice Recipe,Asian,Main Course,Vegetarian,100
75,Tofu Pulao Recipe,Indian,Dinner,Vegetarian,150
76,Masala Sandwich Recipe With Rocket Leaves,Fusion,Indian Breakfast,Vegetarian,25
77,Tomato Relish Recipe,Continental,Side Dish,Vegetarian,20
78,Dubuk Vade Recipe - Khandeshi Gram Flour Dumpling Curry,Maharashtrian Recipes,Lunch,Vegetarian,70
80,Radish Soup Recipe,Indian,Side Dish,Vegetarian,20
81,Mango Donut Cake Recipe With Chocolate Glaze,Continental,Dessert,Vegetarian,50
82,Matar Paneer Kachori Korma Recipe - Green Peas And Paneer Kachori Curry,North Indian Recipes,Lunch,Vegetarian,70
83,Zucchini Roll Up Lasagne Recipe,Continental,Dinner,Vegetarian,150
84,Thengai Sadam Recipe (A Quick and Healthy Coconut Rice),South Indian Recipes,Lunch,Vegetarian,70
85,Karwar Style Ambade Udid Methi Recipe - Hog Plum Curry,Coastal Karnataka,Lunch,Vegetarian,70
86,Roasted Cauliflower Recipe,South Indian Recipes,Dinner,Vegetarian,150
87,Pain Viennois | Vienna Bread Recipe,European,Main Course,Eggetarian,115
88,Crunchy Ginger Capsicum Rice Recipe,Indian,Lunch,Vegetarian,70
89,Bengali Chirer Payesh / Poha Pudding Recipe With Nolen Gur,Bengali Recipes,Dessert,Vegetarian,50
90,Makhan Recipe (Homemade Butter),North Indian Recipes,Side Dish,Vegetarian,20
91,Shanghai Style Chap Nian Gao Recipes (Stir Fried Rice Cakes Recipes),Chinese,One Pot Dish,Vegetarian,55
92,White Pumpkin Mor Kuzhambu Recipe - Kerala Style White Pumpkin Curry,Kerala Recipes,Lunch,Vegetarian,70
93,Paneer and Green Peas Paratha Recipe - Paneer and Green Peas Paratha Recipe,North Indian Recipes,North Indian Breakfast,High Protein Vegetarian,38
94,Elephant Yam Raita (Recipe In Hindi),Indian,Side Dish,Vegetarian,20
95,Drunken Noodles Recipe - Drunken Noodles Recipe,Thai,Main Course,Vegetarian,100
96,Chettinad Style Prawn Biryani Recipe,Chettinad,Lunch,Non Vegeterian,87
97,Walnut and Flax Seed Trail Mix Recipe With Figs and Honey,Continental,World Breakfast,Vegetarian,40
98,Murgh Malaiwala Recipe - Chicken In Rich Creamy Gravy,North Indian Recipes,Lunch,Non Vegeterian,87
99,Paal Kesari Recipe - South Indian Style Milk Kesari,South Indian Recipes,Dessert,Vegetarian,50
100,Spicy Lemon Chicken Kebab Recipe,Indian,Appetizer,Non Vegeterian,62
101,Paneer Butter Masala Biryani Recipe - Layered Paneer Butter Masala Biryani Recipe,North Indian Recipes,Main Course,Vegetarian,100
102,Gond Ke Ladoo Recipe - Edible Gum Ladoo,North Indian Recipes,Dessert,Vegetarian,50
103,Mukhadi Halwa Recipe (Semolina & All Purpose Flour Halwa),North Indian Recipes,Dessert,Vegetarian,50
104,Kobari Charu recipe - Kobbari Charu Recipe,South Indian Recipes,Lunch,High Protein Vegetarian,77
105,Basil Tincture Recipe (Or) - Herbal Drink From Basil,Indian,Side Dish,Vegetarian,20
106,Carrot Corn Mayo Pancake Recipe With Sandwich Spread,Continental,World Breakfast,Vegetarian,40
107,Tamil Nadu Style Spicy Egg Fry Recipe,Tamil Nadu,Appetizer,Eggetarian,57
108,Chirer Dudh Puli Recipe - Bengali Style Baten Rice Dumpling Milk,Bengali Recipes,Dessert,Vegetarian,50
109,Waffle Broth Recipe - Puppet's Yamarinta Crovy,South Indian Recipes,Lunch,Vegetarian,70
110,Kashmiri Style Modur Pulao With Pomegranate Recipe,Kashmiri,Lunch,Vegetarian,70
111,North Indian Style Mushroom Matar Masala Recipe,North Indian Recipes,Lunch,High Protein Vegetarian,77
112,Dhania Chole Masala Recipe - Chickpeas In Fresh Coriander Gravy,North Indian Recipes,Main Course,High Protein Vegetarian,110
113,Capsicum Masala Poriyal (Recipe in Hindi),South Indian Recipes,Lunch,Vegetarian,70
114,Kerala Style Raw Banana and Suran Kotu Curry Recipe - Kerala Style Plantain & Yam Thoran Recipe,Kerala Recipes,Dinner,Vegetarian,150
115,Cheese Stuffed Aloo Bonda Recipe,Indian,Snack,Vegetarian,30
116,Dahi Wale Paneer Recipe - Paneer In A Curd Gravy,North Indian Recipes,Lunch,High Protein Vegetarian,77
117,Nutty Aloo Paratha Recipe,North Indian Recipes,North Indian Breakfast,Vegetarian,35
118,Chicken Tikka Taco Recipe Topped With Cheesy Garlic Mayo,Mexican,Dinner,Non Vegeterian,187
119,Masalewali Turai Sabzi Recipe - Masalawali Turai Sabzi Recipe,North Indian Recipes,Side Dish,Vegetarian,20
120,Pudina Mushroom And Soya Biryani Recipe,Indian,Main Course,High Protein Vegetarian,110
121,White Vegetable Kurma Recipe With Coconut & Cashew,South Indian Recipes,Side Dish,Vegetarian,20
122,Muttaikose Poriyal Recipe - Cabbage Stir fry With Coconut,South Indian Recipes,Side Dish,No Onion No Garlic (Sattvic),20
123,Bengaluru Style Brinjal Gravy Recipe - For Biryani,Karnataka,Side Dish,Vegetarian,20
124,PF Chang's Style Crispy Chicken Lettuce Wraps Recipe,Asian,Appetizer,Non Vegeterian,62
125,Lemon Frozen Yogurt Recipe,Continental,Snack,Vegetarian,30
126,Paneer Capsicum Sandwich Recipe,Continental,World Breakfast,High Protein Vegetarian,44
127,Dry Suran Masala Vegetable Recipe,North Indian Recipes,Side Dish,Vegetarian,20
128,One Pot Pressure Cooker Chicken Curry Recipe - One Pot Pressure Cooker Chicken Curry Recipe,South Indian Recipes,Lunch,Non Vegeterian,87
129,Lauki Ka Salan Recipe - Bottle Gourd Salan Recipe,Andhra,Lunch,Vegetarian,70
130,Togari Bell Thove Recipe - Tour Dal Juice,South Indian Recipes,Lunch,High Protein Vegetarian,77
131,Chicken Shawarma Recipe,Middle Eastern,Main Course,Non Vegeterian,125
133,Mushroom Paratha Recipe,North Indian Recipes,Lunch,High Protein Vegetarian,77
134,Palak Chana Dal Recipe - Healthy Spinach Gram Dal Recipe,North Indian Recipes,Lunch,High Protein Vegetarian,77
135,Pasi Paruppu Kosumalli Recipe (Spiced Lentil Salad Recipe),South Indian Recipes,Lunch,Vegetarian,70
136,Maharashtrian Style Semolina and Yogurt Cake Recipe,Maharashtrian Recipes,Dessert,Vegetarian,50
137,Ragi Masala Roti Recipe,South Indian Recipes,Lunch,Diabetic Friendly,80
138,Dry Sweet Potato Thoran Recipe,Kerala Recipes,Side Dish,Vegetarian,20
139,Oreo Milkshake Recipe,Continental,Snack,Vegetarian,30
140,Mexican Grilled Corn Flavoured With Cheesy Garlic Mayo Recipe,Mexican,Snack,Vegetarian,30
141,Paneer Matar Butter Masala (Indian Cottage Cheese and Peas Masala With Butter) Recipe,North Indian Recipes,Dinner,High Protein Vegetarian,165
142,Dhugare Baingan Recipe - Dhungare Baingan Recipe,Lucknowi,Side Dish,Vegetarian,20
143,Rajasthani Style Dried Gatta Capsicum Vegetable Recipe,Rajasthani,Side Dish,No Onion No Garlic (Sattvic),20
144,Indo Chinese Crispy Chicken Chilli Recipe,Fusion,Appetizer,High Protein Non Vegetarian,67
145,And fish soup recipe - Bengali fish curry,Bengali Recipes,Lunch,High Protein Non Vegetarian,94
146,Stem Lettuce Tamarind Broth Recipe - Surri left behind by Amarnath Greens,South Indian Recipes,Lunch,Diabetic Friendly,80
147,Crispy Masala Peanuts Recipe - Gujarati Sing Bhujia,Gujarati Recipes?,Snack,High Protein Vegetarian,33
148,Maa Ki Dal (Recipe),Punjabi,Dinner,High Protein Vegetarian,165
149,Palak Mushroom Makhani Recipe - Creamy Spinach & Mushroom,North Indian Recipes,Lunch,High Protein Vegetarian,77
150,Dahi Bhalla Papdi Chaat Recipe,North Indian Recipes,Lunch,High Protein Vegetarian,77
151,Wheat Grass Shikanji - Wheat Grass Lemonade Recipe,Indian,Snack,Vegetarian,30
152,Chole Masala Recipe - Dry Masala Chickpeas (Recipe),Punjabi,Lunch,High Protein Vegetarian,77
153,Rajasthani Kachri Chutney Recipe - Rajasthani Kachri Ki Chutney Recipe,Rajasthani,Side Dish,Vegetarian,20
154,Fasting Potato Paneer Recipe - Potato Paneer Curry Without Onion And Garlic Recipe,North Indian Recipes,Lunch,Vegetarian,70
155, Katachi Amti (Recipe In Hindi),Maharashtrian Recipes,Lunch,Vegetarian,70
156,Khara Obbattu Recipe (Bread Stuffed With Spicy Potato Mixture Recipe),Karnataka,Lunch,Vegetarian,70
157,Cauliflower Matar Bhurji (Recipe in Hindi),Indian,Dinner,Vegetarian,150
159,Kashmiri Style Paneer Masala Recipe,Kashmiri,Lunch,Vegetarian,70
160,Aromatic Vegetable Pulao Recipe,Indian,Lunch,Vegetarian,70
161,Spicy Curd Recipe - Spicy Curd With Onions,Indian,Side Dish,Vegetarian,20
162,Mustard Vegetable Curry Recipe,Indian,Side Dish,Vegetarian,20
163,One Pot Spicy Vegetable Pulao Recipe with Coconut Milk,Indian,Dinner,Vegetarian,150
164,Bengali Aloo Dum Recipe - Bengali Aloo Dum Recipe,Bengali Recipes,Main Course,Vegetarian,100
166,Hyderabad Soy Biryani Recipe With Vegetables & Palak,Hyderabadi,Main Course,Vegetarian,100
167,North Indian Feni Recipe - Sevaiyan Kheer,North Indian Recipes,Dessert,Vegetarian,50
168,South Indian Papad Curry Recipe - Appalam Vathal Kuzhambu (Recipe),Tamil Nadu,Dinner,Vegetarian,150
169,Moong Dal Khichdi Recipe For Babies And Toddlers Over 10 Months,Indian,Lunch,Vegetarian,70
170,Dahi Wale Aloo Recipe (Indian Yogurt-based Potato Curry),North Indian Recipes,Lunch,Vegetarian,70
171,Vegetable Fried Brown Rice Recipe,Chinese,Lunch,Vegetarian,70
172,Eggless Devil's Food Cake Recipe,Continental,Dessert,Vegetarian,50
173,Bengali Langcha Recipe With Mawa,Bengali Recipes,Dessert,Vegetarian,50
174,Kovakkai Podi Curry Recipe - Tamil Nadu Style Ivy Gourd Stir Fry,Tamil Nadu,Lunch,Diabetic Friendly,80
175,Biryani Masala Powder Recipe - Biryani Masala Powder Recipe,Hyderabadi,Lunch,Diabetic Friendly,80
176,"Chicken Sausages, Baked Beans and Stir Fried Broccoli Recipe",Continental,World Breakfast,Non Vegeterian,50
177,Crispy Chicken Dumplings Recipe,Indian,Snack,Vegetarian,30
178,Turkish Chicken Gozleme Recipe-Stuffed Spinach Chicken Bread,Middle Eastern,Lunch,Non Vegeterian,87
179,Moon Biscuits Recipe (Moon Shaped Baked Cookies),Indian,Snack,Vegetarian,30
180,Andaman Style Steamed Garlic Prawns Recipe,Side Dish,Non Vegeterian,Vegetarian,65
181,Fruit Pachadi Recipe,South Indian Recipes,Side Dish,Vegetarian,20
182,Aloo Matar Masala Khichdi Recipe,Indian,Main Course,Vegetarian,100
183,Rock Toast Recipe - Semolina Bread Toast,Indian,Indian Breakfast,Vegetarian,25
184,Potato Vindaloo Recipe (Spicy Goan Potato Curry),Goan Recipes,Lunch,Vegetarian,70
185,Lu Potol Post Recipe (Lu Parwal In Poppy Seed Masala Recipe),Bengali Recipes,Dinner,Vegetarian,150
186,Aloo Bhey Ki Sabzi Recipe (Potato Lotus Stem Curry),North Indian Recipes,Lunch,Vegetarian,70
187,Classic Grilled Tomato Cucumber Chutney Sandwich Recipe,Indian,Snack,Vegetarian,30
188,Homemade Granola Mix Recipe with Oats & Wheat Flakes,Continental,World Breakfast,High Protein Vegetarian,44
189,Baingan Sarson Ka Saag Recipe,North Indian Recipes,Lunch,Diabetic Friendly,80
190,Kalyana Veetu Senai Curry Recipe - South Indian Spicy Roasted Yam,Tamil Nadu,Side Dish,Vegetarian,20
191,Chettinad Thakkali Sadam Recipe (Chettinad Style Tomato Rice),Chettinad,Lunch,Gluten Free,84
192,Thai Yellow Coconut Curry Rice Recipe,Thai,Lunch,Vegetarian,70
193, Stuffed Bhindi With Paneer (Recipe In Hindi),North Indian Recipes,Lunch,Vegetarian,70
194,Bael Ka Sharbat Recipe - Wood Apple Squash Drink,North Indian Recipes,Appetizer,Vegetarian,50
196,Raw Mango Murabba Recipe - Cinnamon Spiced Mango Jam,Indian,Side Dish,Vegetarian,20
197,Karnataka Style Gorai Kai Kara Recipe - Cluster Beans Chutney,Karnataka,South Indian Breakfast,Diabetic Friendly,46
198,Kunafa With Mango Cottage Cheese Cream Recipe,Arab,Dessert,Vegetarian,50
199,Royal Bread Gulab Jamun Recipe,Indian,Dessert,Vegetarian,50
200,Safed Achari Baingan Recipe - White Aubergine in pickled spices,Indian,Dinner,Vegetarian,150
201,Potlankaya Perugu Pachhadi Recipe (Curd & Sunke Gourad Chutney),South Indian Recipes,Side Dish,Diabetic Friendly,23
202,Karela Dahi Puri Recipe - A Chatpata Chaat Made From Bitter Gourd,Indian,Snack,Vegetarian,30
203,Kasuri Methi and Potato Frying Recipe,North Indian Recipes,Side Dish,Vegetarian,20
204,Sprouted Matki Chila Recipe with Spinach - Moth Bean Chila,North Indian Recipes,North Indian Breakfast,Diabetic Friendly,40
205,Malabar Kaai Curry Recipe With Nenthra Pazham,Kerala Recipes,Dessert,Gluten Free,60
206,Assamese Sweet Kordoi Recipe,Assamese,Snack,Vegetarian,30
207,Steamed Bafauri Recipe (Bhojpuri Style Steamed Chana Dal Balls),Bihari,Snack,High Protein Vegetarian,33
208,Jodhpuri Aloo Recipe,Rajasthani,Lunch,Vegetarian,70
209,Vedakkai Thoran Recipe - Kerala Style Bhindi Stir Fry,Kerala Recipes,Lunch,Diabetic Friendly,80
210,Gram and Potato Dry Vegetable Recipe,North Indian Recipes,Lunch,High Protein Vegetarian,77
211,Tomato Chicken Roast Recipe Flavoured With Kasuri Methi,Indian,Side Dish,Non Vegeterian,25
212,Nellikai Oorugai / Amla Sambhario Recipe (Instant Gooseberry Piccile Recipe),Indian,Side Dish,Vegetarian,20
213,Baingan Sarson Ka Saag Recipe - Brinjal Mustard Saag Recipe,North Indian Recipes,Lunch,Diabetic Friendly,80
214,Stuffed Arbi Paratha Recipe,North Indian Recipes,Lunch,Vegetarian,70
215,Tomato Curry Leaf Chutney Recipe - Tomato Curry Leaf Chutney Recipe,South Indian Recipes,Side Dish,Vegetarian,20
216,Rajasthani Goonde Vegetable Recipe (Bird Lime Stir Fry),Rajasthani,Side Dish,Vegetarian,20
218,Raw Jackfruit Burrito Recipe,Mexican,Lunch,Vegetarian,70
219,Bengali gram dal recipe,Bengali Recipes,Lunch,High Protein Vegetarian,77
220,Hyderabadi Vegetable Biryani Recipe - Hyderabadi Vegetable Biryani Recipe,Hyderabadi,Lunch,Vegetarian,70
221,Chocolate Chip & Raisin Rolls Recipe,Continental,Snack,Vegetarian,30
222,Baby Corn Cigar Recipe,North Indian Recipes,Appetizer,Vegetarian,50
223,Wheat Millet Thepla Recipe - Bajra Masala Paratha,Gujarati Recipes?,Main Course,Diabetic Friendly,115
225,Kaju Badam Ladoo Recipe,Indian,Dessert,Vegetarian,50
226,Spaghetti Aglio Olio With Parmesan & Greens Recipe,Italian Recipes,Dinner,Vegetarian,150
227,Mushroom Dumpling Recipe With Potatoes (Momos),Asian,Snack,High Protein Vegetarian,33
228,Tomato Curry Leaf Chutney With No Onion No Garlic Recipe,South Indian Recipes,Side Dish,Vegetarian,20
229,Baked Oats and Whole Wheat Kachori Stuffed with Peas Recipe,North Indian Recipes,Snack,Vegetarian,30
230,Masala Carrot And Peas Sandwich Recipe,Continental,World Breakfast,Vegetarian,40
231,Stuffed Onion Vegetable Recipe - Bharwa Pyaz Ki Sabzi Recipe,North Indian Recipes,Side Dish,Vegetarian,20
232,Aam Panna Pani Puri Recipe,North Indian Recipes,Appetizer,Vegetarian,50
233,Quinoa Vegetable Upma Recipe,Fusion,Indian Breakfast,Diabetic Friendly,28
234,Whole Wheat Espresso Chocolate Streusel Cake Recipe,Continental,Dessert,Vegetarian,50
235,Basella Fritters Recipe - Malabar Spinach Fritters,Malabar,Snack,Vegetarian,30
236,Fig Honey & Paprika Preserve Recipe,Malabar,Snack,Vegetarian,30
237,Sepu Vadi Recipe (Himachali Split Urad Dal Dumplings In Spinach Gravy),Himachal,Side Dish,High Protein Vegetarian,22
238,Himachali Dry Raw Mango Chutney Recipe,Himachal,Side Dish,Vegetarian,20
239,Vegan Navratan Korma Recipe,North Indian Recipes,Lunch,Vegan,80
240,Lentils and Mixed Grains Khichda Recipe,Rajasthani,Dinner,High Protein Vegetarian,165
241,Chettinad Pakora Curry Recipe,Chettinad,Side Dish,Vegetarian,20
242,Banana Pomegranate Raita Recipe - Kela Anar Raita,Indian,Side Dish,Vegetarian,20
243,Dhania Wale Aloo Recipe - Coriander Potato Dry,Indian,Lunch,Vegetarian,70
244,Case Podimas Recipe (South Indian Style Blindine Mash),Tamil Nadu,Side Dish,Diabetic Friendly,23
245,Baked Potato-Spaghetti Rolls Recipe,Fusion,Appetizer,Vegetarian,50
246,Rajasthani Ghasela recipe - Besan Ka Pitta (Recipe in Hindi),Rajasthani,Lunch,Vegetarian,70
247,Andhra Style Bendakaya Charu Recipe - Ladies Finger Rasam,Andhra,Lunch,Vegetarian,70
248,Mexican Vegetarian Burrito Bowl Recipe,Mexican,Dinner,Vegetarian,150
249,Dahi Bhindi Recipe - Okra in Yogurt Curry with Caramelized Onions,North Indian Recipes,Dinner,Vegetarian,150
250,Palak Paneer Bhurji Recipe - Palak Paneer Bhurji Recipe,North Indian Recipes,Vegetarian,Vegetarian,45
251,Badam Halwa Recipe,Awadhi,Dessert,Vegetarian,50
252,Sweet & Spicy Vegetable Hong Kong Style Recipe,Cantonese,Side Dish,Vegetarian,20
253,Badam Halwa Recipe,Awadhi,Dessert,Vegetarian,50
255,Tender Coconut Ice Cream Recipe,Indian,Dessert,Vegetarian,50
256,Milk Powder Chena Burfi Recipe,Indian,Dessert,Vegetarian,50
257,Carrot Orange Walnut Raita (Fruity Nutty Yogurt) Recipe,Indian,Side Dish,Vegetarian,20
258,Coffee Chocolate Truffles Recipe,Continental,Dessert,Vegetarian,50
259,Karnataka Style Ragi Ujju Rotti Recipe,Karnataka,South Indian Breakfast,Gluten Free,48
260,Pui Shaker Chorchori Recipe - Mixed Vegetable Curry With Malabar Spinach,North East India Recipes,Side Dish,Vegetarian,20
261,Potato Pancakes Recipe,Continental,World Breakfast,Eggetarian,46
262,Bamboo Shoot Stir Fry Recipe,Asian,Side Dish,Diabetic Friendly,23
263,Udupi Style Red Parboiled Rice Sevai Recipe (Red Rice Vermicelli),Udupi,South Indian Breakfast,Vegetarian,40
265,Till Wale Aloo Recipe - Sesame Potato Sabzi,Indian,Lunch,Vegetarian,70
266,Beetroot Loni Sponge Dosa Recipe,North Indian Recipes,North Indian Breakfast,Vegetarian,35
267,Sweet & Spicy Stuffed Paneer In Kofta Curry Recipe,North Indian Recipes,Dinner,Vegetarian,150
268,"Sichuan Style Zhong Shui Jiao Recipe (Caramelized Onion, Cabbage And Peas Dumplings in Red Oil Recipe)",Sichuan,Side Dish,Vegetarian,20
269,Spicy Baby Potatoes Recipe,North Indian Recipes,Lunch,Vegetarian,70
271,Barley Whole Wheat Coffee Marble Cake Recipe,Continental,Snack,Vegetarian,30
272,Chettinad Dry Pepper Chicken Recipe,Chettinad,Appetizer,High Protein Non Vegetarian,67
273,Andhra Style Lettuce Pulp Recipe (Spinach Dal Recipe),Andhra,Lunch,Vegetarian,70
274,Rich Dark Chocolate Mousse Recipe,Continental,Dessert,Eggetarian,57
275,Hunase Gojju Recipe - Hunase Gojju Recipe,Karnataka,Lunch,Vegetarian,70
276,Qahwa | Arabic Coffee Recipe,Arab,Snack,Vegetarian,30
277,Broccoli Corn & Barley Soup Recipe,Continental,Dinner,Vegetarian,150
278,Spirulina and Mint Basil Pesto Pasta Recipe,Italian Recipes,Lunch,Vegetarian,70
279,Goan Style Sando Recipe (Steamed Rice Cakes Filled With Sweet Coconut),Goan Recipes,Dessert,Vegetarian,50
280,"Til Moongphali Aur Kundru Sabzi Recipe - Sesame, Peanuts And Ivy Gourd Stir Fry",Indian,Side Dish,Vegetarian,20
281,Asian Style Honey Soy Sticky Chicken Recipe,Continental,Appetizer,Non Vegeterian,62
282,Kaigari Pirattal Recipe (Chettinad Style Mixed Vegetables),Tamil Nadu,Lunch,Vegetarian,70
283,Pomegranate Frozen Margarita Recipe,Continental,Vegetarian,Vegetarian,45
284,Chinese Egg Fried Rice Recipe With Oats,Fusion,Dinner,Eggetarian,172
285,Matar Besan and Paneer Cheela Recipe - Matar Besan and Paneer Cheela Recipe,North Indian Recipes,North Indian Breakfast,Vegetarian,35
286,Leftover Roti Cutlet Recipe,Indian,Snack,Vegetarian,30
287,Flourless Orange Cake With Cream Cheese Frosting Recipe,Continental,Dessert,Eggetarian,57
288,Spicy Paneer Bhurji Pav Sandwich Recipe - Breakfast Recipe,North Indian Recipes,Dinner,High Protein Vegetarian,165
289,Asian Style Baby Corn With Sesame Seeds and Peanut Sauce Recipe,Asian,Appetizer,Vegetarian,50
